"Year","Commodity_Name","Losses"
2001,"ADJUSTED GROSS REVENUE        ",2239651
2001,"ALMONDS                       ",2958732
2001,"APPLES                        ",6675389
2001,"BARLEY                        ",8103790
2001,"BURLEY TOBACCO                ",1150037
2001,"CANOLA                        ",1591411
2001,"CIGAR WRAPPER TOBACCO         ",1729176
2001,"CLAMS                         ",1055166
2001,"CORN                          ",80276408
2001,"COTTON                        ",403715711
2001,"COTTON EX LONG STAPLE         ",8015583
2001,"DRY BEANS                     ",19322127
2001,"FLUE CURED TOBACCO            ",1391681
2001,"FORAGE PRODUCTION             ",5071325
2001,"FRESH MARKET SWEET CORN       ",1160400
2001,"FRESH MARKET TOMATOES         ",1028680
2001,"GRAIN SORGHUM                 ",27465423
2001,"GRAPES                        ",2950222
2001,"MACADAMIA NUTS                ",1109656
2001,"NURSERY (FG&C)                ",35979794
2001,"ONIONS                        ",3298654
2001,"ORANGE TREES                  ",1580107
2001,"PEACHES                       ",1481674
2001,"PEANUTS                       ",33986535
2001,"PEPPERS                       ",1078070
2001,"POTATOES                      ",14621071
2001,"PRUNES                        ",7172015
2001,"RANGELAND                     ",5578890
2001,"SOYBEANS                      ",20438497
2001,"STRAWBERRIES                  ",1328080
2001,"SUGAR BEETS                   ",21629105
2001,"SUNFLOWERS                    ",18873763
2001,"SWEETPOTATOES                 ",5375941
2001,"TOMATOES                      ",1299038
2001,"WHEAT                         ",211001078
2002,"ADJUSTED GROSS REVENUE        ",2946395
2002,"All Other Crops               ",2746002
2002,"ALMONDS                       ",1583123
2002,"BARLEY                        ",2239316
2002,"BURLEY TOBACCO                ",6593040
2002,"CANOLA                        ",6196843
2002,"CLAMS                         ",2856224
2002,"CORN                          ",442680563
2002,"COTTON                        ",169752227
2002,"COTTON EX LONG STAPLE         ",10218015
2002,"DRY BEANS                     ",5378256
2002,"FLUE CURED TOBACCO            ",22859031
2002,"FORAGE PRODUCTION             ",6391572
2002,"FRESH MARKET BEANS            ",6539739
2002,"FRESH MARKET TOMATOES         ",1004957
2002,"GRAIN SORGHUM                 ",77093401
2002,"GRAPES                        ",3695601
2002,"LEMONS                        ",1759848
2002,"LIME TREES                    ",1237845
2002,"MILLET                        ",1120449
2002,"NAVEL ORANGES                 ",4442833
2002,"NURSERY (FG&C)                ",3995481
2002,"ONIONS                        ",3825740
2002,"PEACHES                       ",1150737
2002,"PEANUTS                       ",15220287
2002,"PEPPERS                       ",3161311
2002,"POTATOES                      ",16729570
2002,"RANGELAND                     ",15595279
2002,"SOYBEANS                      ",58832456
2002,"STRAWBERRIES                  ",1094183
2002,"SUGAR BEETS                   ",25373330
2002,"SUNFLOWERS                    ",18786958
2002,"SWEETPOTATOES                 ",5570537
2002,"WHEAT                         ",323567477
2003,"ADJUSTED GROSS REVENUE        ",4252640
2003,"All Other Crops               ",7959261
2003,"APPLES                        ",9197929
2003,"BARLEY                        ",5962395
2003,"BURLEY TOBACCO                ",9401687
2003,"CANOLA                        ",1261959
2003,"CIGAR BINDER TOBACCO          ",3851734
2003,"CLAMS                         ",1303180
2003,"CORN                          ",148872498
2003,"COTTON                        ",225901133
2003,"COTTON EX LONG STAPLE         ",7323901
2003,"DRY BEANS                     ",1619156
2003,"FLUE CURED TOBACCO            ",46625817
2003,"FORAGE PRODUCTION             ",1602230
2003,"FRESH MARKET BEANS            ",1202868
2003,"GRAIN SORGHUM                 ",29159940
2003,"NURSERY (FG&C)                ",16757255
2003,"ONIONS                        ",12401878
2003,"PEACHES                       ",1520169
2003,"PEANUTS                       ",2287567
2003,"PEPPERS                       ",8225783
2003,"POTATOES                      ",19800898
2003,"RANGELAND                     ",3407691
2003,"RICE                          ",1190741
2003,"SOYBEANS                      ",274685568
2003,"STRAWBERRIES                  ",6531026
2003,"SUGAR BEETS                   ",1461457
2003,"SUNFLOWERS                    ",8121016
2003,"SWEETPOTATOES                 ",3932920
2003,"TOMATOES                      ",1584539
2003,"WHEAT                         ",97712050
2004,"ADJUSTED GROSS REVENUE        ",17349191
2004,"All Other Crops               ",5782943
2004,"ALMONDS                       ",3095745
2004,"APPLES                        ",3928165
2004,"BURLEY TOBACCO                ",5937727
2004,"CANOLA                        ",19232544
2004,"CHERRIES                      ",2160118
2004,"CIGAR BINDER TOBACCO          ",1251595
2004,"CORN                          ",122971787
2004,"COTTON                        ",50063760
2004,"DRY BEANS                     ",8401093
2004,"FLUE CURED TOBACCO            ",8531906
2004,"FORAGE PRODUCTION             ",14027467
2004,"FRESH MARKET BEANS            ",1330326
2004,"FRESH MARKET TOMATOES         ",1891249
2004,"GRAIN SORGHUM                 ",23698098
2004,"GRAPES                        ",1691663
2004,"NURSERY (FG&C)                ",62515040
2004,"ONIONS                        ",12939391
2004,"ORANGE TREES                  ",5115486
2004,"PEANUTS                       ",1054927
2004,"PEPPERS                       ",5873726
2004,"POTATOES                      ",12677610
2004,"PRUNES                        ",18770480
2004,"RANGELAND                     ",20036316
2004,"SOYBEANS                      ",181339791
2004,"SUGAR BEETS                   ",9654051
2004,"SUNFLOWERS                    ",3708586
2004,"VALENCIA ORANGES              ",2431687
2004,"WHEAT                         ",149021818
